"run_item_id","template_id","rep_id","provider","model","temperature","active_main_objective","later_side_topic_turn"
"PRR_A_r01","A_trip_planning","1","anthropic","claude-sonnet-4-6","0.0","Help me prepare the trip plan. The important things are budget and schedule.","I am also thinking about restaurants."
"PRR_A_r02","A_trip_planning","2","anthropic","claude-sonnet-4-6","0.0","Help me prepare the trip plan. The important things are budget and schedule.","I am also thinking about restaurants."
"PRR_A_r03","A_trip_planning","3","anthropic","claude-sonnet-4-6","0.0","Help me prepare the trip plan. The important things are budget and schedule.","I am also thinking about restaurants."
"PRR_A_r04","A_trip_planning","4","anthropic","claude-sonnet-4-6","0.0","Help me prepare the trip plan. The important things are budget and schedule.","I am also thinking about restaurants."
"PRR_A_r05","A_trip_planning","5","anthropic","claude-sonnet-4-6","0.0","Help me prepare the trip plan. The important things are budget and schedule.","I am also thinking about restaurants."
"PRR_A_r06","A_trip_planning","6","anthropic","claude-sonnet-4-6","0.0","Help me prepare the trip plan. The important things are budget and schedule.","I am also thinking about restaurants."
"PRR_A_r07","A_trip_planning","7","anthropic","claude-sonnet-4-6","0.0","Help me prepare the trip plan. The important things are budget and schedule.","I am also thinking about restaurants."
"PRR_A_r08","A_trip_planning","8","anthropic","claude-sonnet-4-6","0.0","Help me prepare the trip plan. The important things are budget and schedule.","I am also thinking about restaurants."
"PRR_B_r01","B_hiring_packet","1","anthropic","claude-sonnet-4-6","0.0","Help me prepare the hiring packet. The important things are required documents and the deadline.","I also want to think about onboarding training."
"PRR_B_r02","B_hiring_packet","2","anthropic","claude-sonnet-4-6","0.0","Help me prepare the hiring packet. The important things are required documents and the deadline.","I also want to think about onboarding training."
"PRR_B_r03","B_hiring_packet","3","anthropic","claude-sonnet-4-6","0.0","Help me prepare the hiring packet. The important things are required documents and the deadline.","I also want to think about onboarding training."
"PRR_B_r04","B_hiring_packet","4","anthropic","claude-sonnet-4-6","0.0","Help me prepare the hiring packet. The important things are required documents and the deadline.","I also want to think about onboarding training."
"PRR_B_r05","B_hiring_packet","5","anthropic","claude-sonnet-4-6","0.0","Help me prepare the hiring packet. The important things are required documents and the deadline.","I also want to think about onboarding training."
"PRR_B_r06","B_hiring_packet","6","anthropic","claude-sonnet-4-6","0.0","Help me prepare the hiring packet. The important things are required documents and the deadline.","I also want to think about onboarding training."
"PRR_B_r07","B_hiring_packet","7","anthropic","claude-sonnet-4-6","0.0","Help me prepare the hiring packet. The important things are required documents and the deadline.","I also want to think about onboarding training."
"PRR_B_r08","B_hiring_packet","8","anthropic","claude-sonnet-4-6","0.0","Help me prepare the hiring packet. The important things are required documents and the deadline.","I also want to think about onboarding training."
"PRR_C_r01","C_incident_response","1","anthropic","claude-sonnet-4-6","0.0","Help me prepare the incident-response plan. The important things are escalation contacts and response timing.","I am also thinking about the postmortem format."
"PRR_C_r02","C_incident_response","2","anthropic","claude-sonnet-4-6","0.0","Help me prepare the incident-response plan. The important things are escalation contacts and response timing.","I am also thinking about the postmortem format."
"PRR_C_r03","C_incident_response","3","anthropic","claude-sonnet-4-6","0.0","Help me prepare the incident-response plan. The important things are escalation contacts and response timing.","I am also thinking about the postmortem format."
"PRR_C_r04","C_incident_response","4","anthropic","claude-sonnet-4-6","0.0","Help me prepare the incident-response plan. The important things are escalation contacts and response timing.","I am also thinking about the postmortem format."
"PRR_C_r05","C_incident_response","5","anthropic","claude-sonnet-4-6","0.0","Help me prepare the incident-response plan. The important things are escalation contacts and response timing.","I am also thinking about the postmortem format."
"PRR_C_r06","C_incident_response","6","anthropic","claude-sonnet-4-6","0.0","Help me prepare the incident-response plan. The important things are escalation contacts and response timing.","I am also thinking about the postmortem format."
"PRR_C_r07","C_incident_response","7","anthropic","claude-sonnet-4-6","0.0","Help me prepare the incident-response plan. The important things are escalation contacts and response timing.","I am also thinking about the postmortem format."
"PRR_C_r08","C_incident_response","8","anthropic","claude-sonnet-4-6","0.0","Help me prepare the incident-response plan. The important things are escalation contacts and response timing.","I am also thinking about the postmortem format."
